Species,Common
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides farinae,House dust mite,,,,,,
Dermatophagoides microceras,House dust mite,,,,,,
Dermatophagoides microceras,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides pteronyssinus,House dust mite,,,,,,
Dermatophagoides siboney,House dust mite,,,,,,
Dolichovespula arenaria,Yellow jacket,,,,,,
Dolichovespula maculata,Whiteface hornet,,,,,,
Dolichovespula maculata,Whiteface hornet,,,,,,
Dolichovespula maculata,Whiteface hornet,,,,,,
Dolichovespula maculata,Whiteface hornet,,,,,,
Dolichovespula maculata,Whiteface hornet,,,,,,
Epicoccum nigrum,Fungus,,,,,,
Equus asinus,,,,,,,
Equus caballus,Horse,,,,,,
Equus caballus,Horse,,,,,,
Equus caballus,Horse,,,,,,
Equus caballus,Horse,,,,,,
Equus caballus,Horse,,,,,,
Equus caballus,Horse,,,,,,
Equus caballus,Horse,,,,,,
Erimacrus isenbeckii,Horsehair crab,,,,,,
Erimacrus isenbeckii,Horsehair crab,,,,,,
Eriocheir sinensis,Chinese mitten crab,,,,,,
Eriocheir sinensis,Chinese mitten crab,,,,,,
Euphausia pacifica,North Pacific Krill,,,,,,
Euphausia superba,Krill,,,,,,
Euroglyphus maynei,House dust mite,,,,,,
Euroglyphus maynei,House dust mite,,,,,,
Euroglyphus maynei,House dust mite,,,,,,
Euroglyphus maynei,House dust mite,,,,,,
Evynnis japonica,Crimson seabream,,,,,,
Evynnis japonica,Crimson seabream,,,,,,
Fagopyrum esculentum,Buckwheat,,,,,,
Fagopyrum esculentum,Buckwheat,,,,,,
Fagopyrum esculentum,Buckwheat,,,,,,
Fagopyrum esculentum,Buckwheat,,,,,,
Fagopyrum esculentum,Buckwheat,,,,,,
Fagopyrum esculentum,Buckwheat,,,,,,
Fagopyrum esculentum,Buckwheat,,,,,,
Fagopyrum esculentum,Buckwheat,,,,,,
Fagopyrum esculentum,Buckwheat,,,,,,
Fagopyrum esculentum,Buckwheat,,,,,,
Fagopyrum tataricum,Buckwheat,,,,,,
Fagopyrum tataricum,Buckwheat,,,,,,
Fagopyrum tataricum,Buckwheat,,,,,,
Fagopyrum tataricum,Buckwheat,,,,,,
Fagus sylvatica,European Beech,,,,,,
Fagus sylvatica,European Beech,,,,,,
Fagus sylvatica,European Beech,,,,,,
Farfantepenaeus aztecus,Brown shrimp,,,,,,
Felis catus,Cat,,,,,,
Felis catus,Cat,,,,,,
Felis catus,Cat,,,,,,
Felis catus,Cat,,,,,,
Felis catus,Cat,,,,,,
Felis catus,Cat,,,,,,
Felis catus,Cat,,,,,,
Felis catus,Cat,,,,,,
Felis catus,Cat,,,,,,
Felis catus,Cat,,,,,,
Felis catus,Cat,,,,,,
Felis catus,Cat,,,,,,
Fenneropenaeus chinensis,Chinese white shrimp,,,,,,
Fenneropenaeus chinensis,Chinese white shrimp,,,,,,
Fenneropenaeus chinensis,Chinese white shrimp,,,,,,
Fenneropenaeus merguiensis,Banana Prawn,,,,,,
Fenneropenaeus merguiensis,Banana Prawn,,,,,,
Forcipomyia taiwana,biting midges,,,,,,
Forcipomyia taiwana,biting midges,,,,,,
Fragaria x ananassa,Strawberry,,,,,,
Fragaria x ananassa,Strawberry,,,,,,
Fragaria x ananassa,Strawberry,,,,,,
Fragaria x ananassa,Strawberry,,,,,,
Fragaria x ananassa,Strawberry,,,,,,
Fragaria x ananassa,Strawberry,,,,,,
Fragaria x ananassa,Strawberry,,,,,,
Fragaria x ananassa,Strawberry,,,,,,
Fragaria x ananassa,Strawberry,,,,,,
Fragaria x ananassa,Strawberry,,,,,,
Fragaria x ananassa,Strawberry,,,,,,
Fragaria x ananassa,Strawberry,,,,,,
Fraxinus excelsior,European ash,,,,,,
Fraxinus excelsior,European ash,,,,,,
Fraxinus excelsior,European ash,,,,,,
Fraxinus excelsior,European ash,,,,,,
Fraxinus excelsior,European ash,,,,,,
Fulvia mutica,Mollusc,,,,,,
Fusarium culmorum,Fungus,,,,,,
Fusarium culmorum,Fungus,,,,,,
Fusarium culmorum,Fungus,,,,,,
Fusarium proliferatum,Fungus,,,,,,
Fusarium proliferatum,Fungus,,,,,,
Gadus callarias,Baltic cod,,,,,,
Gadus morhua,Atlantic cod,,,,,,
Gadus morhua,Atlantic cod,,,,,,
Gadus morhua,Atlantic cod,,,,,,
Gadus morhua,Atlantic cod,,,,,,
Gadus morhua,Atlantic cod,,,,,,
Gallus gallus,chicken,,,,,,
Gallus gallus,chicken,,,,,,
Gallus gallus,chicken,,,,,,
Gallus gallus,chicken,,,,,,
Gallus gallus,chicken,,,,,,
Gallus gallus,chicken,,,,,,
Gallus gallus,chicken,,,,,,
Gallus gallus,chicken,,,,,,
Gallus gallus,chicken,,,,,,
Gallus gallus,chicken,,,,,,
Gallus gallus,chicken,,,,,,
Gallus gallus,chicken,,,,,,
Gallus gallus,chicken,,,,,,
Gallus gallus,chicken,,,,,,
Gallus gallus,chicken,,,,,,
Gallus gallus,chicken,,,,,,
Gallus gallus,chicken,,,,,,
Glossina morsitans morsitans,Tsetse fly,,,,,,
Glossina morsitans morsitans,Tsetse fly,,,,,,
Glossina morsitans morsitans,Tsetse fly,,,,,,
Glossina morsitans morsitans,Tsetse fly,,,,,,
Glycine max,Soybean,,,,,,
Glycine max,Soybean,,,,,,
Glycine max,Soybean,,,,,,
Glycine max,Soybean,,,,,,
Glycine max,Soybean,,,,,,
Glycine max,Soybean,,,,,,
Glycine max,Soybean,,,,,,
Glycine max,Soybean,,,,,,
Glycine max,Soybean,,,,,,
Glycine max,Soybean,,,,,,
Glycine max,Soybean,,,,,,
Glycine max,Soybean,,,,,,
Glycine max,Soybean,,,,,,
Glycine max,Soybean,,,,,,
Glycine max,Soybean,,,,,,
Glycine max,Soybean,,,,,,
Glycine max,Soybean,,,,,,
Glycine max,Soybean,,,,,,
Glycine max,Soybean,,,,,,
Glycine max,Soybean,,,,,,
Glycine max,Soybean,,,,,,
Glycine max,Soybean,,,,,,
Glycine max,Soybean,,,,,,
Glycine max,Soybean,,,,,,
Glycine max,Soybean,,,,,,
Glycine max,Soybean,,,,,,
Glycine max,Soybean,,,,,,
Glycine max,Soybean,,,,,,
Glycine max,Soybean,,,,,,
Glycine max,Soybean,,,,,,
Glycine max,Soybean,,,,,,
Glycine max,Soybean,,,,,,
Glycine max,Soybean,,,,,,
Glycine max,Soybean,,,,,,
Glycine max,Soybean,,,,,,
Glycine max,Soybean,,,,,,
Glycine max,Soybean,,,,,,
Glycine max,Soybean,,,,,,
Glycine max,Soybean,,,,,,
Glycine max,Soybean,,,,,,
Glycine max,Soybean,,,,,,
Glycine max,Soybean,,,,,,
Glycine max,Soybean,,,,,,
Glycine soja,Soybean,,,,,,
Glycyphagus domesticus,Storage mite,,,,,,
Glycyphagus domesticus,Storage mite,,,,,,
Glycyphagus domesticus,Storage mite,,,,,,
Haliotis discus discus,Disk abalone,,,,,,
Haliotis discus discus,Disk abalone,,,,,,
Haliotis diversicolor,Abalone,,,,,,
Haliotis laevigata x Haliotis rubra,,,,,,,
Helianthus annuus,Sunflower,,,,,,
Helianthus annuus,Sunflower,,,,,,
Helianthus annuus,Sunflower,,,,,,
Helianthus annuus,Sunflower,,,,,,
Helix aspersa,Brown garden snail,,,,,,
Hevea brasiliensis,Para rubber tree,,,,,,
Hevea brasiliensis,Para rubber tree,,,,,,
Hevea brasiliensis,Para rubber tree,,,,,,
Hevea brasiliensis,Para rubber tree,,,,,,
Hevea brasiliensis,Para rubber tree,,,,,,
Hevea brasiliensis,Para rubber tree,,,,,,
Hevea brasiliensis,Para rubber tree,,,,,,
Hevea brasiliensis,Para rubber tree,,,,,,
Hevea brasiliensis,Para rubber tree,,,,,,
Hevea brasiliensis,Para rubber tree,,,,,,
Hevea brasiliensis,Para rubber tree,,,,,,
Hevea brasiliensis,Para rubber tree,,,,,,
Hevea brasiliensis,Para rubber tree,,,,,,
Hevea brasiliensis,Para rubber tree,,,,,,
Hevea brasiliensis,Para rubber tree,,,,,,
Hevea brasiliensis,Para rubber tree,,,,,,
Hevea brasiliensis,Para rubber tree,,,,,,
Hevea brasiliensis,Para rubber tree,,,,,,
Hevea brasiliensis,Para rubber tree,,,,,,
Hevea brasiliensis,Para rubber tree,,,,,,
Hevea brasiliensis,Para rubber tree,,,,,,
Hevea brasiliensis,Para rubber tree,,,,,,
Hevea brasiliensis,Para rubber tree,,,,,,
Hevea brasiliensis,Para rubber tree,,,,,,
Hevea brasiliensis,Para rubber tree,,,,,,
Hevea brasiliensis,Para rubber tree,,,,,,
Hevea brasiliensis,Para rubber tree,,,,,,
Hevea brasiliensis,Para rubber tree,,,,,,
Hevea brasiliensis,Para rubber tree,,,,,,
Hevea brasiliensis,Para rubber tree,,,,,,
Hevea brasiliensis,Para rubber tree,,,,,,
Hevea brasiliensis,Para rubber tree,,,,,,
Hevea brasiliensis,Para rubber tree,,,,,,
Hevea brasiliensis,Para rubber tree,,,,,,
Hevea brasiliensis,Para rubber tree,,,,,,
Hevea brasiliensis,Para rubber tree,,,,,,
Hevea brasiliensis,Para rubber tree,,,,,,
Hevea brasiliensis,Para rubber tree,,,,,,
Hevea brasiliensis,Para rubber tree,,,,,,
Hevea brasiliensis,Para rubber tree,,,,,,
Hevea brasiliensis,Para rubber tree,,,,,,
Hevea brasiliensis subsp. brasiliensis,Para rubber tree,,,,,,
Holcus lanatus,Velvet grass,,,,,,
Holcus lanatus,Velvet grass,,,,,,
Holcus lanatus,Velvet grass,,,,,,
Holcus lanatus,Velvet grass,,,,,,
Holcus lanatus,Velvet grass,,,,,,
Holcus lanatus,Velvet grass,,,,,,
Holcus lanatus,Velvet grass,,,,,,
Homarus americanus,American lobster,,,,,,
Homarus americanus,American lobster,,,,,,
Hordeum vulgare,Barley,,,,,,
Hordeum vulgare,Barley,,,,,,
Hordeum vulgare,Barley,,,,,,
Hordeum vulgare,Barley,,,,,,
Hordeum vulgare,Barley,,,,,,
Hordeum vulgare,Barley,,,,,,
Hordeum vulgare subsp. vulgare,Barley,,,,,,
Hordeum vulgare subsp. vulgare,Barley,,,,,,
Hordeum vulgare subsp. vulgare,Barley,,,,,,
Hordeum vulgare subsp. vulgare,Barley,,,,,,
Hordeum vulgare subsp. vulgare,Barley,,,,,,
Humulus japonicus,Japanese hop,,,,,,
Humulus scandens,Japanese hop,,,,,,
Humulus scandens,Japanese hop,,,,,,
Juglans nigra,Black walnut,,,,,,
Juglans nigra,Black walnut,,,,,,
Juglans nigra,Black walnut,,,,,,
Juglans regia,English walnut,,,,,,
Juglans regia,English walnut,,,,,,
Juglans regia,English walnut,,,,,,
Juglans regia,English walnut,,,,,,
Juglans regia,English walnut,,,,,,
Juglans regia,English walnut,,,,,,
Juglans regia,English walnut,,,,,,
Juglans regia,English walnut,,,,,,
Juniperus ashei,Mountain cedar,,,,,,
Juniperus ashei,Mountain cedar,,,,,,
Juniperus ashei,Mountain cedar,,,,,,
Juniperus ashei,Mountain cedar,,,,,,
Juniperus chinensis,,,,,,,
Juniperus chinensis,,,,,,,
Juniperus chinensis,,,,,,,
Juniperus oxycedrus,Juniper,,,,,,
Juniperus oxycedrus,Juniper,,,,,,
Juniperus oxycedrus,Juniper,,,,,,
Juniperus rigida,Cedar,,,,,,
Juniperus rigida,Cedar,,,,,,
Juniperus virginiana,Red cedar,,,,,,
Juniperus virginiana,Red cedar,,,,,,
Juniperus virginiana,Red cedar,,,,,,
Lactuca sativa,Garden lettuce,,,,,,
Lates calcarifer,Asian Seabass,,,,,,
Lates calcarifer,Asian Seabass,,,,,,
Lates calcarifer,Asian Seabass,,,,,,
Lates calcarifer,Asian Seabass,,,,,,
Lates calcarifer,Asian Seabass,,,,,,
Lens culinaris,Lentil,,,,,,
Lens culinaris,Lentil,,,,,,
Lens culinaris,Lentil,,,,,,
Lepidoglyphus destructor,Storage mite,,,,,,
Lepidoglyphus destructor,Storage mite,,,,,,
Lepidoglyphus destructor,Storage mite,,,,,,
Lepidoglyphus destructor,Storage mite,,,,,,
Lepidoglyphus destructor,Storage mite,,,,,,
Lepidoglyphus destructor,Storage mite,,,,,,
Lepidoglyphus destructor,Storage mite,,,,,,
Lepidoglyphus destructor,Storage mite,,,,,,
Lepidoglyphus destructor,Storage mite,,,,,,
Lepidoglyphus destructor,Storage mite,,,,,,
Lepidoglyphus destructor,Storage mite,,,,,,
Lepidoglyphus destructor,Storage mite,,,,,,
Lepidoglyphus destructor,Storage mite,,,,,,
Lepidoglyphus destructor,Storage mite,,,,,,
Lepidoglyphus destructor,Storage mite,,,,,,
Lepidoglyphus destructor,Storage mite,,,,,,
Lepidoglyphus destructor,Storage mite,,,,,,
Lepidoglyphus destructor,Storage mite,,,,,,
Lepidoglyphus destructor,Storage mite,,,,,,
Lepidoglyphus destructor,Storage mite,,,,,,
Lepidoglyphus destructor,Storage mite,,,,,,
Lepidorhombus whiffiagonis,Flat fish,,,,,,
Lepisma saccharina,Silverfish,,,,,,
Lepisma saccharina,Silverfish,,,,,,
Ligustrum vulgare,Privet,,,,,,
Ligustrum vulgare,Privet,,,,,,
Lilium longiflorum,Trumpet lily,,,,,,
Linum usitatissimum,,,,,,,
Liposcelis bostrychophila,booklice,,,,,,
Liposcelis bostrychophila,booklice,,,,,,
Litchi chinensis,Lychee nut,,,,,,
Litchi chinensis,Lychee nut,,,,,,
Litopenaeus vannamei,Whiteleg Shrimp,,,,,,
Litopenaeus vannamei,Whiteleg Shrimp,,,,,,
Litopenaeus vannamei,Whiteleg Shrimp,,,,,,
Litopenaeus vannamei,Whiteleg Shrimp,,,,,,
Litopenaeus vannamei,Whiteleg Shrimp,,,,,,
Lolium perenne,Perennial ryegrass,,,,,,
Lolium perenne,Perennial ryegrass,,,,,,
Lolium perenne,Perennial ryegrass,,,,,,
Lolium perenne,Perennial ryegrass,,,,,,
Lolium perenne,Perennial ryegrass,,,,,,
Lolium perenne,Perennial ryegrass,,,,,,
Lolium perenne,Perennial ryegrass,,,,,,
Lolium perenne,Perennial ryegrass,,,,,,
Lolium perenne,Perennial ryegrass,,,,,,
Lolium perenne,Perennial ryegrass,,,,,,
Lolium perenne,Perennial ryegrass,,,,,,
Lolium perenne,Perennial ryegrass,,,,,,
Lolium perenne,Perennial ryegrass,,,,,,
Lupinus albus,white lupine,,,,,,
Lupinus albus,white lupine,,,,,,
Lupinus angustifolius,blue lupin,,,,,,
Lupinus angustifolius,blue lupin,,,,,,
Lupinus angustifolius,blue lupin,,,,,,
Lupinus angustifolius,blue lupin,,,,,,
Lupinus angustifolius,blue lupin,,,,,,
Lupinus angustifolius,blue lupin,,,,,,
Lupinus angustifolius,blue lupin,,,,,,
Lupinus angustifolius,blue lupin,,,,,,
Lupinus angustifolius,blue lupin,,,,,,
Lupinus angustifolius,blue lupin,,,,,,
Lycium barbarum,wolfberry,,,,,,
Macadamia integrifolia,,,,,,,
Macadamia integrifolia,,,,,,,
Macrobrachium lanchesteri,,,,,,,
Macrobrachium rosenbergii,Giant River Prawn,,,,,,
Macrobrachium rosenbergii,Giant River Prawn,,,,,,
Macruronus magellanicus,Patagonian Grenadier,,,,,,
Macruronus magellanicus,Patagonian Grenadier,,,,,,
Macruronus magellanicus,Patagonian Grenadier,,,,,,
Macruronus novaezelandiae,Blue hake,,,,,,
Malassezia furfur,Yeast,,,,,,
Malassezia furfur,Yeast,,,,,,
Malassezia furfur,Yeast,,,,,,
Malassezia sympodialis,Yeast,,,,,,
Malassezia sympodialis,Yeast,,,,,,
Malassezia sympodialis,Yeast,,,,,,
Malassezia sympodialis,Yeast,,,,,,
Malassezia sympodialis,Yeast,,,,,,
Malassezia sympodialis,Yeast,,,,,,
Malassezia sympodialis,Yeast,,,,,,
Malassezia sympodialis,Yeast,,,,,,
Malassezia sympodialis,Yeast,,,,,,
Malassezia sympodialis ATCC 42132,Yeast,,,,,,
Malassezia sympodialis ATCC 42132,Yeast,,,,,,
Malassezia sympodialis ATCC 42132,Yeast,,,,,,
Malassezia sympodialis ATCC 42132,Yeast,,,,,,
Malassezia sympodialis ATCC 42132,Yeast,,,,,,
Malassezia sympodialis ATCC 42132,Yeast,,,,,,
Malus x domestica,Apple,,,,,,
Malus x domestica,Apple,,,,,,
Malus x domestica,Apple,,,,,,
Malus x domestica,Apple,,,,,,
Malus x domestica,Apple,,,,,,
Malus x domestica,Apple,,,,,,
Malus x domestica,Apple,,,,,,
Malus x domestica,Apple,,,,,,
Malus x domestica,Apple,,,,,,
Malus x domestica,Apple,,,,,,
Malus x domestica,Apple,,,,,,
Malus x domestica,Apple,,,,,,
Malus x domestica,Apple,,,,,,
Malus x domestica,Apple,,,,,,
Malus x domestica,Apple,,,,,,
Malus x domestica,Apple,,,,,,
Malus x domestica,Apple,,,,,,
Malus x domestica,Apple,,,,,,
Malus x domestica,Apple,,,,,,
Malus x domestica,Apple,,,,,,
Malus x domestica,Apple,,,,,,
Malus x domestica,Apple,,,,,,
Malus x domestica,Apple,,,,,,
Malus x domestica,Apple,,,,,,
Malus x domestica,Apple,,,,,,
Malus x domestica,Apple,,,,,,
Malus x domestica,Apple,,,,,,
Malus x domestica,Apple,,,,,,
Malus x domestica,Apple,,,,,,
Malus x domestica,Apple,,,,,,
Malus x domestica,Apple,,,,,,
Malus x domestica,Apple,,,,,,
Malus x domestica,Apple,,,,,,
Malus x domestica,Apple,,,,,,
Malus x domestica,Apple,,,,,,
Malus x domestica,Apple,,,,,,
Malus x domestica,Apple,,,,,,
Malus x domestica,Apple,,,,,,
Malus x domestica,Apple,,,,,,
Malus x domestica,Apple,,,,,,
Malus x domestica,Apple,,,,,,
Malus x domestica,Apple,,,,,,
Malus x domestica,Apple,,,,,,
Malus x domestica,Apple,,,,,,
Malus x domestica,Apple,,,,,,
Malus x domestica,Apple,,,,,,
Malus x domestica,Apple,,,,,,
Malus x domestica,Apple,,,,,,
Malus x domestica,Apple,,,,,,
Malus x domestica,Apple,,,,,,
Malus x domestica,Apple,,,,,,
Malus x domestica,Apple,,,,,,
Malus x domestica,Apple,,,,,,
Malus x domestica,Apple,,,,,,
Manihot esculenta,Cassava,,,,,,
Manihot esculenta,Cassava,,,,,,
Manilkara zapota,Sapodilla plum,,,,,,
Manilkara zapota,Sapodilla plum,,,,,,
Manilkara zapota,Sapodilla plum,,,,,,
Marsupenaeus japonicus,Kuruma Shrimp,,,,,,
Melicertus latisulcatus,King Prawn,,,,,,
Mercurialis annua,Annual mercury grass,,,,,,
Merluccius australis australis,southern hake,,,,,,
Merluccius australis polylepis,Southern hake,,,,,,
Merluccius australis polylepis,Southern hake,,,,,,
Merluccius bilinearis,Silver hake,,,,,,
Merluccius bilinearis,Silver hake,,,,,,
Merluccius bilinearis,Silver hake,,,,,,
Merluccius capensis,Shallow-water cape hake,,,,,,
Merluccius gayi,Southern Pacific hake,,,,,,
Merluccius gayi,Southern Pacific hake,,,,,,
Merluccius merluccius,European hake,,,,,,
Merluccius merluccius,European hake,,,,,,
Merluccius paradoxus,Deep-water cape hake,,,,,,
Merluccius paradoxus,Deep-water cape hake,,,,,,
Merluccius paradoxus,Deep-water cape hake,,,,,,
Merluccius polli,Benguela hake,,,,,,
Merluccius polli,Benguela hake,,,,,,
Merluccius productus,North Pacific hake,,,,,,
Merluccius productus,North Pacific hake,,,,,,
Mesocricetus auratus,Golden hamster,,,,,,
Mesocricetus auratus,Golden hamster,,,,,,
Metapenaeus ensis,Greasyback shrimp,,,,,,
Mimachlamys nobilis,Noble scallop,,,,,,
Morus alba,,,,,,,
Morus alba var. atropurpurea,White Mulberry,,,,,,
Morus bombycis,Mulberry,,,,,,
Morus bombycis,Mulberry,,,,,,
Morus nigra,Black mulberry,,,,,,
Mus musculus,Mouse,,,,,,
Mus musculus,Mouse,,,,,,
Mus musculus,Mouse,,,,,,
Mus musculus domesticus,Mouse,,,,,,
Musa acuminata,Banana,,,,,,
Musa acuminata,Banana,,,,,,
Musa acuminata,Banana,,,,,,
Musa acuminata,Banana,,,,,,
Musa acuminata AAA Group,Banana,,,,,,
Mustelus griseus,,,,,,,
Mustelus griseus,,,,,,,
Myrmecia banksi,Giant Bull Ant,,,,,,
Myrmecia pilosula,Jumper ant,,,,,,
Myrmecia pilosula,Jumper ant,,,,,,
Myrmecia pilosula,Jumper ant,,,,,,
Myrmecia pilosula,Jumper ant,,,,,,
Neptunea polycostata,Wrinkled Neptune,,,,,,
Nicotiana tabacum,Tobacco,,,,,,
Nicotiana tabacum,Tobacco,,,,,,
Octopus vulgaris,Octopus,,,,,,
Olea europaea,Olive tree,,,,,,
Olea europaea,Olive tree,,,,,,
Olea europaea,Olive tree,,,,,,
Olea europaea,Olive tree,,,,,,
Olea europaea,Olive tree,,,,,,
Olea europaea,Olive tree,,,,,,
Olea europaea,Olive tree,,,,,,
Olea europaea,Olive tree,,,,,,
Olea europaea,Olive tree,,,,,,
Olea europaea,Olive tree,,,,,,
Olea europaea,Olive tree,,,,,,
Olea europaea,Olive tree,,,,,,
Olea europaea,Olive tree,,,,,,
Olea europaea,Olive tree,,,,,,
Olea europaea,Olive tree,,,,,,
Olea europaea,Olive tree,,,,,,
Olea europaea,Olive tree,,,,,,
Olea europaea,Olive tree,,,,,,
Olea europaea,Olive tree,,,,,,
Olea europaea,Olive tree,,,,,,
Olea europaea,Olive tree,,,,,,
Olea europaea,Olive tree,,,,,,
