Food Product,Ingredient,Prediction
Caesar Pasta Salad,"Pasta, Caesar dressing, Romaine lettuce, Parmesan cheese",Contains
Baked Apple,"Apples, Sugar, Butter, Cinnamon, oats",Contains
Apple Pie,"Apples, Sugar, Butter, Cinnamon, pastry",Contains
Chicken Parmesan,"Chicken, Olive oil, Tomato sauce, cheese",Contains
Pumpkin Pie,"Pumpkin, Sugar, Butter, Pumpkin spice, pastry",Contains
Blueberry Muffins,"Flour, Sugar, Butter, Blueberries",Contains
Sausage and Pepper Pizza,"Pizza dough, Sausage, bell peppers",Contains
Beef Wellington,"Beef, Butter, Mushrooms, puff pastry",Contains
Jalebi,"Flour, Sugar, Ghee, Saffron syrup",Contains
Butter Naan,"Flour, Butter",Contains
Tiramisu,"Ladyfingers, Sugar, Mascarpone cheese, coffee liqueur, Cocoa powder",Contains
Chocolate Cake,"Flour, Sugar, Butter, Cocoa powder",Contains
Chocolate Chip Pancakes,"Flour, Sugar, Butter, Chocolate chips",Contains
Lemon Bars,"Lemon juice, Sugar, Butter, Flour, eggs",Contains
Lemon Bars,"Lemon juice, Sugar, Butter, Flour, eggs",Contains
Pecan Pie,"Pecans, Sugar, Butter, Corn syrup",Contains
Zucchini Bread,"Zucchini, Sugar, Butter, Cinnamon, nuts",Contains
Banana Bread,"Bananas, Sugar, Butter, Cinnamon, nuts",Contains
Hawaiian Pizza,"Pizza dough, Pineapple, ham",Contains
,,

