Recipe Name,Ingredients,Allergy?,Potential Allergy,Type
Mississippi Corn Pudding,"greasing, beaten, sugar, milk, cream, cream, flour, cornmeal, salt, pepper, paprika, soda, onion, celery, cobs, cheese, crumbs, Ritz",Yes,"celery, cheese, cream, milk, onion, sugar","Hypersensitivity, Milk allergy / Lactose intolerance, Milk allergy / Lactose intolerance, Milk allergy / Lactose intolerance, Allium Allergy, Sugar Allergy / Intolerance"
Black-Eyed Pea Salad With Hot Sauce Vinaigrette,"Microplane, vinegar, mustard, sauce, honey, pepper, oil, drained, dice, chopped, halved, dill",Yes,honey,Honey Allergy
"Caribbean Smothered Chicken With Coconut, Lime, and Chiles","oil, pounds), pepper, thyme, sliced, chopped, slit, milk, serving, powder",Yes,milk,Milk allergy / Lactose intolerance
Watermelon Salad With Radishes and Mint,"pepper, slices, vinegar, oil, slivers, cubes, leaves",No,,
Classic BBQ Baked Beans,"diced, chopped, chopped, beans, sugar, ketchup, vinegar, syrup, molasses, mustard, sauce, seasoning",Yes,sugar,Sugar Allergy / Intolerance
Icebox Lemon Pie With Meringue,"crumbs, melted, sugar, separated, lemons, milk, tartar, sugar",Yes,"milk, sugar","Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Frogmore Stew,"stock, leaves, seasoning, celery, onions, cloves, chiles, chunks, pieces, quartered, shrimp, scallops, wine, pepper, cilantro, garnish",Yes,celery,Hypersensitivity
Very Red Velvet Cake With Cream Cheese Icing and Pecans,"flour, soda, temperature, sugar, oil, vinegar, buttermilk, extract, bottles), sifted, softened, softened, pecans",Yes,"buttermilk, sugar","Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Strawberry Balsamic Shortcakes,"strawberries, sugar, dusting, powder, sugar, salt, oil, brushing, (optional), vinegar, honey, cream, agave, topping",Yes,"cream, honey, sugar","Milk allergy / Lactose intolerance, Honey Allergy, Sugar Allergy / Intolerance"
Dad's Peach Cobbler,"dusting, sugar, salt, chilled, needed, drained, sugar, flour, cinnamon, nutmeg, salt, beaten, dusting, dusting, cream, serving",Yes,"cream, sugar","Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Strawberry Coconut Cake,"sugar, temperature, hulled, temperature, flour, powder, salt, temperature, oil, extract, extract, (optional), temperature, sugar, cold, extract, (optional), salt, flakes, garnish",Yes,sugar,Sugar Allergy / Intolerance
Sorrel (Hibiscus) Tea,"flowers, thick), stick, cloves, zest, lemon, nectar, leaves, garnish",Yes,lemon,Citrus Allergy
Tea Cakes,"surface, powder, soda, salt, nutmeg, temperature, sugar, eggs, buttermilk, extract, sugar, sprinkling",Yes,"buttermilk, eggs, sugar","Milk allergy / Lactose intolerance, Poultry Allergy, Sugar Allergy / Intolerance"
Strawberry-Rhubarb Crisp,"flour, sugar, oats, cornmeal, cinnamon, salt, cubes, oil, strawberries, rhubarb, sugar, flour, cornstarch",Yes,sugar,Sugar Allergy / Intolerance
Pulled Pork Sandwiches,"paprika, powder, cumin, sugar, salt, oregano, sugar, pepper, pepper, pounds), oil, chopped, minced, ketchup, vinegar, sauce, sugar, powder, pepper",Yes,sugar,Sugar Allergy / Intolerance
New Age Church Punch,"pineapple, salt, ginger, sugar, water, leaves, sugar, limes), (optional), ounces, (optional)",Yes,"ginger, pineapple, sugar","Histamine Allergy, Oral Allergy Syndrome, Sugar Allergy / Intolerance"
Fried Green Tomatoes,"slices, divided, divided, buttermilk, cornmeal, flour, powder, paprika, flakes, oil",Yes,buttermilk,Milk allergy / Lactose intolerance
White Russian,"vodka, Kahla, cream",Yes,cream,Milk allergy / Lactose intolerance
Roasted Strawberry Layer Cake,"flour, powder, milk, cordial, butter, sugar, lemon, eggs, strawberries, sugar, paste, whites, sugar, softened, cordial, decorate, elderflower, decorate",Yes,"butter, eggs, lemon, milk, sugar","Milk allergy / Lactose intolerance, Poultry Allergy, Citrus Allergy, Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Jerk Baby Back Ribs With Pineapple Salsa,"slices, sauce, oil, vinegar, water, sliced, seeded, vinegar, juice, sugar, diced, diced, diced, pepper, cilantro, oil, lime, salt, powder, powder, allspice, salt, nutmeg, powder, cinnamon, pepper, pepper, ribs",Yes,"lime, sugar","Citrus Allergy, Sugar Allergy / Intolerance"
Habanero BBQ Shrimp,"preserves, serving, diced, sauce, grated, ginger, deveined, oil, brushing",Yes,ginger,Histamine Allergy
Cornbread Muffins With Whipped Sweet Corn,"greasing, dates, water, cornmeal, flour, sugar, powder, salt, flaxseeds, milk, butter, onion, ears), sugar, needed, Cream, juice, pepper, Jelly, serving",Yes,"butter, milk, onion, sugar","Milk allergy / Lactose intolerance, Milk allergy / Lactose intolerance, Allium Allergy, Sugar Allergy / Intolerance"
Apple and Kohlrabi Coleslaw,"cabbage, cabbage, needed, matchsticks, matchsticks, leaves, juice, vinegar, shoyu, sugar, oil, pepper",Yes,"cabbage, sugar","Cruciferous Allergy, Sugar Allergy / Intolerance"
Lemony Glazed Yogurt Doughnuts,"powder, dusting, more, yolks, yogurt, sugar, cooled, extract, cups), lemon, sugar, thermometer",Yes,"lemon, sugar, yogurt","Citrus Allergy, Sugar Allergy / Intolerance, Milk allergy / Lactose intolerance"
Trail Mix Cookies,"seeds, oats, egg, melted, sugar, sugar, extract, salt, soda, large), disks, flour, salt",Yes,sugar,Sugar Allergy / Intolerance
Ranch Fun Dip,"pistachios, yeast, salt, pepper, dill, sugar, powder, powder, pestle",Yes,sugar,Sugar Allergy / Intolerance
Whole WheatOat Waffles,"halved, sugar, blueberries, cornstarch, flour, oats, powder, soda, salt, Greek), serving, egg, iron)",Yes,sugar,Sugar Allergy / Intolerance
Salted Pistachio Crumbles With Berries and Ice Cream,"pistachios, flour, sugar, cornmeal, more, melted, large, juice, cardamom, honey, choice",Yes,"honey, sugar","Honey Allergy, Sugar Allergy / Intolerance"
Grilled Pork Shoulder Steaks With Herb Salad,"sliced, cloves, sauce, juice, divided, total), salt, sliced, leaves, stems, dill",No,,
Crispy Turmeric-and-Pepper-Spiced Chicken Wings,"peppercorns, turmeric, sugar, salt, dry, grated, grated, oil, serving), mill",Yes,sugar,Sugar Allergy / Intolerance
Flatbread With Avocado and Scallion Salsa,"sugar, tsp.), flour, yogurt, oil, salt, seeds, seeds, scallions, brushing, salt, chopped, parsley, lemon, removed, (optional), mill",Yes,"lemon, parsley, sugar, yogurt","Citrus Allergy, Hypersensitivity, Sugar Allergy / Intolerance, Milk allergy / Lactose intolerance"
Charred Peppers With Lemon Ricotta and Cucumbers,"walnuts, drizzling, chiles, ricotta, lemon, salt, diagonal, large, pepper",Yes,lemon,Citrus Allergy
Radishes With Crme Frache and Furikake,"torn, gochugaru), seeds, more, lemon, trimmed, frache, mill",Yes,lemon,Citrus Allergy
Summer Tomato and Ricotta Tart With Oat Pastry,"oats, seeds, salt, flour, almonds), oil, water, ricotta, zest, Parmesan, pepper, sliced, leaves, oil, drizzling",No,,
Fruit Galette,"flour, sugar, salt, cubes, water, berries, dusting, salt, flour",Yes,sugar,Sugar Allergy / Intolerance
Savory Zucchini Beer Bread,"grated, divided, greasing, flour), powder, sugar, pepper, sliced, cheese, cheese, beer, lager, pilsner, Kolsch",Yes,"cheese, sugar","Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Khara Huggi or Pongal,"rice, lentils, powder, butter, ginger, pieces, cumin, pepper, salt, coconut, powder",Yes,"butter, ginger, rice","Milk allergy / Lactose intolerance, Histamine Allergy, Rice Allergy"
Jalapeo Pepper Jelly,"medium), pepper, sugar, vinegar, pectin",Yes,sugar,Sugar Allergy / Intolerance
Win Son Bakery's Red Date Cake,"pan, cups), soda, flour, powder, salt, sugar, extract, eggs, dates, cream, butter, sugar, salt",Yes,"butter, cream, eggs, sugar","Milk allergy / Lactose intolerance, Milk allergy / Lactose intolerance, Poultry Allergy, Sugar Allergy / Intolerance"
Kong Jaban (Korean Sweet Black Beans),"over, needed, sauce, sugar, oil, seeds",Yes,sugar,Sugar Allergy / Intolerance
Agua de Limn con Cha (Limeade With Chia Seeds),"quartered, water, needed, seeds",No,,
Lgrimas de la Virgen (Beet Cooler With Fruits),"beets, water, sugar, diced, diced, diced, strips, lime",Yes,"lime, sugar","Citrus Allergy, Sugar Allergy / Intolerance"
"Guava, Grapefruit, and Rosemary Agua Fresca (Agua fresca de guayaba, toronja y romero)","water, grapefruits, guavas), rosemary, sugar, taste",Yes,sugar,Sugar Allergy / Intolerance
Aguas Frescas (Mexican Fruit Coolers),"sugar, water, combination), cubes, (optional)",Yes,sugar,Sugar Allergy / Intolerance
Grilled Pizza,"tsp.), sugar, flour, salt, bowl, surface, oil, tomatoes, pepper, sliced, oregano, chard, oil, pepper, flakes, clove, lemon, cup), tomatoes, oil, salt, dusting), drizzling), pieces, grated, (optional), (optional), leaves, large, optional)",Yes,"lemon, sugar","Citrus Allergy, Sugar Allergy / Intolerance"
Rosemary Agrodolce,"honey, rosemary, salt, vinegar, onion, sliced",Yes,"honey, onion","Honey Allergy, Allium Allergy"
Spring Chicken Dinner Salad,"total), more, halved, mustard, oil, pepper, trimmed, lettuce, pieces, leaves, large, peperoncini, avocado, sliced",Yes,"avocado, lettuce","Oral Allergy Syndrome, LTP Allergy"
Pork and Asparagus Stir-Fry,"divided, pieces, salt, pork, chopped, chopped, chopped, sherry, sauce, oil, serving)",No,,
Ramen Noodles With Spring Onions and Garlic Crisp,"divided, sliced, sliced, oil, seeds), basil), sauce, vinegar, seeds, pepper, salt, sugar, noodles, butter, pieces",Yes,"butter, sugar","Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Shrimp Ramp-y,"drizzling, pieces, sliced, serving, wine, on, butter, salt, lemon",Yes,"butter, lemon","Milk allergy / Lactose intolerance, Citrus Allergy"
Green-Garlic-Rubbed Buttery Roast Chicken,"dry, pepper, divided, lemon, temperature, oil",Yes,lemon,Citrus Allergy
Scallion Pancakes With Chili-Ginger Dipping Sauce,"sliced, sauce, vinegar, oil, sugar, flour, cornstarch, salt, sugar, soda, sauce, oil, cups), oil",Yes,sugar,Sugar Allergy / Intolerance
Camouflage Chocolate Fudge Brownies,"pan), pieces, chilled, divided, divided, divided, Dutch-process, pieces, (optional), flour",No,,
Sour Cream and Onion Biscuits,"salt, pepper, powder, soda, sugar, surface, melted, diagonal), serving, salt",Yes,sugar,Sugar Allergy / Intolerance
Salty Buckwheat Chocolate Chunk Cookies,"pieces, flour, flour, powder, soda, (optional), sugar, sugar, egg, yolks, extract, (disks, pistoles, fves), chopped",Yes,sugar,Sugar Allergy / Intolerance
Hanky Panky Cocktail,"gin, vermouth, Fernet-Branca, peel, serve",No,,
Avocado and Lemon Water (Agua de Aguacate y Limn Amarillo),"halved, water, juice, sugar, taste",Yes,sugar,Sugar Allergy / Intolerance
Cinnamon-Date Sticky Buns,"yogurt, divided, egg, sugar, tsp.), flour, soda, salt, pitted, cinnamon, salt, divided, sugar, sugar, yogurt, extract",Yes,"sugar, yogurt","Sugar Allergy / Intolerance, Milk allergy / Lactose intolerance"
Grilled Coconut Shrimp With Shishito Peppers,"grated, zest, sauce, grill, on, serving, peppers, leaves, juice, salt",No,,
"Mochi Cake, Any Way You Want It","pan, pan, half-and-half, eggs, extract, salt, Mochiko, flour, turmeric), powder, seeds",Yes,eggs,Poultry Allergy
Triple-Threat Onion Galette,"sugar, salt, dusting, pieces, divided, sliced, sliced, divided, deepdiagonal, mustard, cups), pepper",Yes,sugar,Sugar Allergy / Intolerance
Shockingly Easy No-Knead Focaccia,"tsp.), honey, flour, salt, hands, salt, pan, cloves",Yes,honey,Honey Allergy
Tahini Billionaire Bars,"pan), flour, sugar, seeds, salt, pieces, yolks, sugar, pieces, cream, salt, tahini, extract, chopped, serving)",Yes,"cream, sugar","Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Frozen Gin and Tonic,"gin, Rudy, (optional, garnish)",No,,
Red Hook Criterium,"Amaro, gin, juice, juice, syrup, water, twist",No,,
Coconut Shrimp Tacos With Mango Salsa and Avocado Cilantro Sauce,"spray, coconut, paprika, pepper, egg, removed, pineapple, pepper, onion, lime, mint, cilantro, avocado, lime, clove, cumin, cayenne, pepper, cups, cabbage, slices",Yes,"avocado, cabbage, lime, onion, pineapple","Oral Allergy Syndrome, Cruciferous Allergy, Citrus Allergy, Allium Allergy, Oral Allergy Syndrome"
Chicken Zucchini Burgers,"yogurt, zest, juice, minced, oil, salt, breast, cheesecloth, kernels, chopped, sliced, beaten, our, cilantro, chopped, cumin, salt, pepper, oil, pockets, store-bought, spinach, cucumber, tomatoes",Yes,"cucumber, spinach, yogurt","Unknown, Histamine Allergy, Milk allergy / Lactose intolerance"
Chipotle Chicken and Cauliflower Tacos,"reserved, syrup, chopped, oil, quartered, head), pepper, toasted, cabbage, sprigs, serve, serve, yogurt, juice, pepper",Yes,"cabbage, yogurt","Cruciferous Allergy, Milk allergy / Lactose intolerance"
Instant Pot Ginger-Lime Baby Back Ribs,"broth, divided, ribs, powder, ginger, minced, salt, pepper, follows), sauce, butter, oil, zest, onion, seeds, shredded, lime, mayonnaise, salt",Yes,"butter, ginger, lime, onion","Milk allergy / Lactose intolerance, Histamine Allergy, Citrus Allergy, Allium Allergy"
Cashew Horchata (Horchata de Nuez de la India),"cashews, rice, stick, taste, water",Yes,rice,Rice Allergy
Orange Chocolate Loaf Cake From Florida,"flour, powder, salt, Dutch-process), sugar, cream, extract, eggs, orange, juice, sugar",Yes,"cream, eggs, orange, sugar","Milk allergy / Lactose intolerance, Poultry Allergy, Citrus Allergy, Sugar Allergy / Intolerance"
Whipped Cream Cake,"off), powder, salt, cold, temperature, extract, sugar, pan, flour",Yes,sugar,Sugar Allergy / Intolerance
Broccoli and Spam Stir-Fry,"grated, oil, vinegar, cilantro, pepper, stem, sauce, ginger, flakes, cinnamon, oil, separated, salt, lengthwise, rice",Yes,"ginger, rice","Histamine Allergy, Rice Allergy"
Cosmonaut,"gin, juice, preserves",No,,
Creamy Ginger Dressing,"tofu, zest, juice, vinegar, mustard, sugar, ginger, garlic, salt, oil, pepper",Yes,"garlic, ginger, sugar","Allium Allergy, Histamine Allergy, Sugar Allergy / Intolerance"
Syrniki ( / Farmers Cheese Pancakes),"yolks, store-bought, sugar, flour, powder, salt, (optional), butter, oil, cream, garnish",Yes,"butter, cream, sugar","Milk allergy / Lactose intolerance, Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Charred Leeks With Honey and Vinegar,"intact), vinegar, honey, drizzling, salt, pepper",Yes,honey,Honey Allergy
Cardamom-Pistachio Carrot Cake,"pan), peeled, pieces, pistachios, temperature, sugar, sugar, powder, soda, cardamom, cinnamon, salt, flour, juice, cream, sugar, salt, butter",Yes,"butter, cream, sugar","Milk allergy / Lactose intolerance, Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Cacao Water (Agua de Cacao),"beans, water",No,,
Rosita,"Partida), vermouth, vermouth, Campari, bitters, twist",No,,
Say Anything,"jalapeos, etc.), watermelon, sugar, below), Cachaa, Aperol, below), juice, leaves, garnish, garnish",Yes,sugar,Sugar Allergy / Intolerance
Tropic Like It's Hot,"tequila, strained), juice, syrup, bitters, (optional), slice, garnish",No,,
Sourdough Crepes,"starter, divided, eggs, milk, sugar, soda, salt, temperature, pan), Jam, frache, sugar, lox, optional)",Yes,"eggs, milk, sugar","Poultry Allergy, Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Enjoying a Margarita in Venezia,"blanco, Aperol, juice, juice, nectar, rim, garnish",No,,
Cucumber Cilantro Margarita,"optional, garnish, cilantro, cubes, tequila, juice, syrup, Sec",No,,
Retox Cocktail,"jalapeo, syrup, juice, tequila, rim",No,,
Hawaij,"peppercorns, seeds, pods), seeds, turmeric, grinder",No,,
Tie-Dye Butter Cookies,"temperature, sugar, salt, yolks, paste, dusting, cutters, divided, divided, powder, powder, salt, divided",Yes,sugar,Sugar Allergy / Intolerance
Ancho Mole Cookies,"walnuts), divided, spices), dark, flour, powder, cinnamon, temperature, sugar, salt, yolks, paste, pieces, cacao), white, beaten",Yes,sugar,Sugar Allergy / Intolerance
Mashed Plantains With Fried Eggs (Mang de Pltanos),"lengthwise, sliced, mL), divided, salt, pepper, oil, eggs, avocado, pitted, peeled, sliced",Yes,"avocado, eggs","Oral Allergy Syndrome, Poultry Allergy"
Golden Noodles With Chicken,"oil, rings, flour, oil, breasts, pepper, tablespoon), cumin, tumeric, Broth, spaghetti, herbs, cilantro, basil",No,,
Butter Pecan Skillet Cookies,"pecans, syrup, divided, pan, flour, sugar, egg, paste, sugar, milk, decorating)",Yes,"milk, sugar","Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Spring Green Bowls,"leaves, leaves, juice, chopped, yogurt, garlic, pepper, heads), oil, pepper, trimmed, beans, toasted, lengthwise, ginger",Yes,"garlic, ginger, yogurt","Allium Allergy, Histamine Allergy, Milk allergy / Lactose intolerance"
Sausage and Ricotta Baked Cannelloni,"butter, flour, milk, cup), pepper, nutmeg, salt, chard, oil, removed, ricotta, salt, 30), sauce, sprinkling)",Yes,"butter, milk","Milk allergy / Lactose intolerance, Milk allergy / Lactose intolerance"
Okra Fries,"deep-frying, lengthwise, beaten, flour, cornstarch, paprika, salt",No,,
Sweet Pickle Potato Salad,"scrubbed, pepper, onion, relish, mayonnaise, eggs, chopped",Yes,"eggs, onion","Poultry Allergy, Allium Allergy"
Cheesy Chicken Melt With All of the Onions Relish,"oil, pieces, salt, sliced, vinegar, sliced, sliced, great), butter, bread, cheese, Muenster",Yes,"butter, cheese","Milk allergy / Lactose intolerance, Milk allergy / Lactose intolerance"
Chicken Spiedies (Marinated Chicken on a Bun),"oil, juice, vinegar, cloves, mint, dill, salt, sauce, powder, pepper, oregano, flakes, cardamom, chunks, lengthwise, lettuce, tomatoes, onion, pepperoncini, olives",Yes,"lettuce, onion","LTP Allergy, Allium Allergy"
Seed and Nut Bread,"seeds, husks, quinoa, water, seeds, flaxseeds, almonds, oil, syrup, flakes",No,,
Pasta With Broccoli and Lemon Cashew-Cream Sauce,"cashews, water, stock, juice, pepper, spaghetti, head), leaves, rind",No,,
Coconut-Lime Energy Bites,"dates, oats, rolling, cashews, seeds, too), butter, limes, extract, (optional), (optional), salt",Yes,butter,Milk allergy / Lactose intolerance
Satay Lettuce Wraps,"aminos, butter, syrup, oil, taste, pieces, chopped, broccoli, cabbage, carrots, chopped, jicama, celery, well, pieces, seeds",Yes,"broccoli, butter, cabbage, celery","Broccoli allergy, Milk allergy / Lactose intolerance, Cruciferous Allergy, Hypersensitivity"
Sweet Potato and Pecan Waffles,"cup), oats, milk, equivalent, butter, meal, powder, extract, cinnamon, clementine, cardamom, nutmeg, topping, spray, syrup, (optional)",Yes,"butter, milk","Milk allergy / Lactose intolerance, Milk allergy / Lactose intolerance"
Instant Pot Lemon Chicken With Garlic and Olives,"needed, size), needed, homemade, lemon, sliced, chopped, garnish, seeds, knife",Yes,lemon,Citrus Allergy
Instant Pot Lemon Vanilla Rice Pudding With Whipped Cream,"rice, milk, sugar, stick, zest, salt, lengthwise, cream, yolks, (optional), (optional), cream, (optional)",Yes,"cream, milk, rice, sugar","Milk allergy / Lactose intolerance, Milk allergy / Lactose intolerance, Rice Allergy, Sugar Allergy / Intolerance"
"Instant Pot Middle Eastern Lentils With Rice, Leeks, and Spinach","serving, sliced, salt, minced, cumin, allspice, pepper, lentils, leaf, stick, rice, spinach, yogurt",Yes,"rice, spinach, yogurt","Rice Allergy, Histamine Allergy, Milk allergy / Lactose intolerance"
Beans and Greens Polenta Bake,"Polenta, sliced, drizzling, rinsed, (optional), pieces, vinegar, salt, Parmesan, topping",No,,
Pantry Dinner Salad With Polenta Croutons,"oil, vinegar, mustard, nectar, salt, pepper, Polenta, Parmesan, oil, sliced, celery), salt, pieces, (optional), desired, basil, parsley, mint, dill)",Yes,parsley,Hypersensitivity
Big-Batch Parmesan Polenta,"salt, cornmeal), Parmesan, pepper",No,,
Backyard Citrus Upside-Down Cake,"butter, sugar, thick, flour, powder, soda, salt, eggs, oil, yogurt, sugar",Yes,"butter, eggs, sugar, yogurt","Milk allergy / Lactose intolerance, Poultry Allergy, Sugar Allergy / Intolerance, Milk allergy / Lactose intolerance"
Sourdough Biscuits,"powder, soda, salt, sugar, dusting, brushing, temperature, (optional)",Yes,sugar,Sugar Allergy / Intolerance
"Carrot Ribbon Salad With Ginger, Parsley, and Dates","rainbow, oil, juice, ginger, honey, salt, parsley, chopped, dates, lengthwise",Yes,"ginger, honey, parsley","Histamine Allergy, Honey Allergy, Hypersensitivity"
"Sumac, Spelt, and Apple Cake","chopped, juice, water, flour, almonds, sumac, powder, soda, oil, sugar, applesauce, chunks, sugar, juice, Sumac, dust",Yes,sugar,Sugar Allergy / Intolerance
Strawberry Honey Balsamic With Black Pepper Ice Cream,"halved, honey, paper, sugar, powder, gum, syrup, milk, cream, cold, Oil, pepper, cold, jam",Yes,"cream, honey, milk, sugar","Milk allergy / Lactose intolerance, Honey Allergy, Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
Togarashi Cheesecake With Sorghum,"crumbs, sugar, melted, temperature, temperature, buttermilk, sugar, eggs, lemon, note), garnish",Yes,"buttermilk, eggs, lemon, sugar","Milk allergy / Lactose intolerance, Poultry Allergy, Citrus Allergy, Sugar Allergy / Intolerance"
Spicy TomatoTuna Noodle Skillet Casserole With Aioli,"yolk, grated, more, oil, pieces, cloves, jar, drizzling, pasta, tuna, chopped, divided, pepper, paste, crushed, turmeric, flakes, optional)",Yes,tuna,Fish Allergy
Braised Celery With Lentils and Garlic,"oil, diagonal, sliced, more, vermouth, optional), broth, Lentils, eggs, salt, pepper, optional)",Yes,eggs,Poultry Allergy
Lentil Bolognese,"oil, (optional), chopped, chopped, paste, wine, tomatoes, divided, pepper, kind), pieces, Parmesan, optional)",No,,
Big-Batch Marinated Lentils,"through, divided, oil, vinegar, honey, paprika",Yes,honey,Honey Allergy
Sourdough Key Lime Ricotta Cookies,"softened, sugar, egg, starter, ricotta, limes, extract, flour, powder, salt, sifted, limes, decoration",Yes,sugar,Sugar Allergy / Intolerance
Cinnamon Sugar Sourdough Waffles,"sugar, cinnamon, starter, 2%, divided, egg, flour, sugar, powder, salt, coating, pineapple, berries, flakes, syrup, serve",Yes,"pineapple, sugar","Oral Allergy Syndrome, Sugar Allergy / Intolerance"
Blueberry Lemon Corn Muffins,"liners, butter, flour, powder, cornmeal, sugar, zest, milk, yolks, blueberries",Yes,"butter, milk, sugar","Milk allergy / Lactose intolerance, Milk allergy / Lactose intolerance, Sugar Allergy / Intolerance"
French Canadian,"Cognac, vinegar, syrup, extract, twist",No,,
Spanish Penny,"preferred), syrup, vinegar, (optional)",No,,
Spicy Baked Pasta With Cheddar and Broccoli Rabe,"salt, fusilli, divided, half-moons, pepper, flakes, chopped, cream, divided, divided, breadcrumbs)",Yes,cream,Milk allergy / Lactose intolerance
Crunchy Pickle Salad,"walnuts, brine, vinegar, mustard, honey, flakes, rinsed, pepper, crosswise, dill, shaved, drizzling), optional)",Yes,honey,Honey Allergy
Beet Tostadas With Fried Eggs,"pieces, grated, powder, Mexican, paprika, cumin, pepper, more, divided, thick), intact, leaves, tortillas, eggs, serving)",Yes,eggs,Poultry Allergy
Salsa de rbol,"oil, chopped, grated, tomatoes, salt, juice",No,,
Grains in Herby Buttermilk,"farro), halved, crushed, zest, salt, stems, fronds, temperature, temperature, lemon, drizzling), pepper",Yes,lemon,Citrus Allergy
"Pasta With Brown Butter, Whole Lemon, and Parmesan","rigatoni), salt, divided, removed, serving, pepper",No,,
One-Pot Gingery Chicken and Rice With Peanut Sauce,"lb.), more, chopped, chopped, chopped, rinsed, anise, sauce, butter, sauce, vinegar, Sriracha, chopped, honey, diagonal, stems",Yes,"butter, honey","Milk allergy / Lactose intolerance, Honey Allergy"
Squash au Vin,"divided, quartered, salt, sliced, peeled, chopped, butter, wine, freekeh, miso, wedges, wedges, stems, lemon",Yes,"butter, lemon","Milk allergy / Lactose intolerance, Citrus Allergy"
Lentil Kielbassoulet,"divided, pieces, divided, diagonal, chopped, chopped, chopped, chopped, whole, leaves, paprika, flakes, paste, lentils, baguette, pieces",No,,
Wood Ear and Cilantro Salad,"cups), berries, chopped, oil, vinegar, more, desired, cilantro",No,,
Pickle Potato Salad,"pieces, pieces, oil, Rub, divided, sliced, diagonal, vinegar, oil, mayonnaise, mustard, chicken, thick, stems",Yes,chicken,Poultry Allergy
Tangy Vinegar Chicken With Barberries and Orange,"drumsticks, salt, oil, chopped, sliced, rinsed, turmeric, flakes, vinegar, orange, halved",Yes,orange,Citrus Allergy
Swirl Spice Cake,"pecans, Mix, sugar, flour, salt, melted, pan), flour, powder, soda, more, sugar, temperature, temperature, temperature, extract, sugar, juice",Yes,sugar,Sugar Allergy / Intolerance
Scallop Rice Bowls With Crunchy Spice Oil,"removed, divided, ginger, divided, removed, sliced, rice, Oil, serving)",Yes,"ginger, rice","Histamine Allergy, Rice Allergy"
Coconut Cod Chowder With Seasoned Oyster Crackers,"fillets, more, divided, crosswise, sliced, matchsticks, turmeric, coriander, cardamom, sliced, halved, milk, (optional), crackers, paprika, limes, divided",Yes,milk,Milk allergy / Lactose intolerance
Clams Arrabbiata,"oil, chopped, chopped, sliced, flakes, tomatoes, scrubbed, cup), leaves, serving)",No,,
Tamarind-Glazed Black Bass With Coconut-Herb Salad,"coconut, vegetable), rings, salt, lengthwise, crushed, paste, concentrate, honey, sauce, cleaned, sliced, large, serving)",Yes,honey,Honey Allergy
Pork Volcnes al Pastor,"butt), removed, removed, cloves, juice, juice, paste, salt, tortillas, oil, grated, onion, cilantro, serving)",Yes,onion,Allium Allergy
Goat Birria Tacos With Cucumber Pico de Gallo,"untrimmed, more, chopped, peeled, removed, removed, rbol, peeled, cloves, tomatoes, peppercorns, Mexican, cumin, pieces, pieces, juice, basil, salt, chopped, tortillas, warmed",No,,
Stuffed Cabbage With Lemony Rice and Sumac,"head), salt, rinsed, drizzling, chopped, nuts, tarragon), raisins, serving, juice, blend, pepper, butter, serving)",Yes,butter,Milk allergy / Lactose intolerance
Pickle Brine Spice Rub,"seeds, powder, dill, salt, seeds, powder, pestle",No,,
Crunchy Spice Oil,"oil, chopped, seeds, seeds, seeds, crushed, flakes, salt, paprika, syrup",No,,
Savory-to-Sweet Coffee Spice Mix,"mill, instant), peel, cinnamon, cardamom, seeds, mill",No,,
Chicken Stock on the Grill,"water, cloves, sliced, anise, leaves, peppercorns, pieces, carrots, stalks, halved, seasoning, wedges, serving",No,,
Thyme Out,"halved, thyme, cubes, water, vodka, Note)",No,,
Fragrant Mixed Herb and Flatbread Salad (Domaaj),"bread), chopped, crumbled, chopped, chopped, chopped, garnish, vinegar, oil, (optional), salt, pepper",No,,
Torshi Tareh (Persian Sour Herb Stew With Marbled Eggs),"rinsed, cilantro, dill, parsley, sliced, oil, chopped, turmeric, spinach, cilantro, pepper, more, limes), whites, optional)",Yes,"parsley, spinach","Hypersensitivity, Histamine Allergy"
Efo Riro With Kale and Whitefish,"end, quartered, pieces, chile, cloves, leaf, pieces, seasoning, cup), oil, paste, thyme, masala, turmeric, bouillon, rinsed, beans), pieces, serving)",No,,
Cabbage Potato Pie,"pieces, more, divided, cabbage, chopped, sliced, vinegar, leaves, pepper, eggs, cream, cheddar, Irish",Yes,"cabbage, cream, eggs","Cruciferous Allergy, Milk allergy / Lactose intolerance, Poultry Allergy"
Yogurt and Persian Shallot Dip (Mast-o Musir),"note), yogurt, salt, pepper, mint, note), leaves",Yes,yogurt,Milk allergy / Lactose intolerance
Persian Rice With Fava Beans and Dill (Baqala Polow),"rice, beans, oil, stick, chopped, crushed, salt, pepper, turmeric, cardamom, water, water, weed, water, (optional)",Yes,rice,Rice Allergy
